parameter_name,level_name,profile,policy_name,success_rate,jam_rate,documented_force_jam_rate,blocked_contact_termination_rate,mean_final_distance,mean_peak_contact_force,p95_peak_contact_force,mean_contact_steps,mean_contact_work
wall_friction_range,nominal,high_friction,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,4.410033061680831,5.300233105432459,11.0,0.018296049174432224
wall_friction_range,nominal,high_friction,variable_impedance,1.0,0.0,0.0,0.0,0.0009439545445146299,1.2159692081031162,1.44361474328835,30.233333333333334,0.004354712636992766
wall_friction_range,nominal,offset_bias,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.6532204315764396,3.6420015833035495,11.0,0.010917988441015271
wall_friction_range,nominal,offset_bias,variable_impedance,1.0,0.0,0.0,0.0,0.0009433850929147387,0.7745358419863653,1.020498448191369,27.349999999999998,0.0027555088608196402
wall_friction_range,nominal,noisy_force,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.784994494426659,3.648150341182667,11.0,0.011143093508965576
wall_friction_range,nominal,noisy_force,variable_impedance,0.9333333333333332,0.0,0.0,0.0,0.0009687261678278459,0.9503923418097641,1.146851119776762,41.06666666666667,0.0020084302238014976
wall_friction_range,high,nominal,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,3.30466043731251,4.5429856322106135,11.0,0.013647485551269089
wall_friction_range,high,nominal,variable_impedance,1.0,0.0,0.0,0.0,0.000935483090580004,0.9380790378964464,1.2509722476460217,28.433333333333334,0.0033686641899314334
wall_friction_range,high,tight_clearance,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,3.30466043731251,4.5429856322106135,11.0,0.013647485551269089
wall_friction_range,high,tight_clearance,variable_impedance,1.0,0.0,0.0,0.0,0.000935483090580004,0.9380790378964464,1.2509722476460217,28.433333333333334,0.0033686641899314334
wall_friction_range,high,high_friction,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,5.502176716227773,6.616821506652095,11.0,0.02287006146804028
wall_friction_range,high,high_friction,variable_impedance,1.0,0.0,0.0,0.0,0.0009371922063331107,1.491396460348276,1.763802034915285,36.56666666666667,0.00465412554558902
wall_friction_range,high,offset_bias,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,3.30466043731251,4.5429856322106135,11.0,0.013647485551269089
wall_friction_range,high,offset_bias,variable_impedance,1.0,0.0,0.0,0.0,0.000935483090580004,0.9380790378964464,1.2509722476460217,28.433333333333334,0.0033686641899314334
wall_friction_range,high,noisy_force,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,3.4465568862140876,4.46779640825418,11.0,0.013928866886206967
wall_friction_range,high,noisy_force,variable_impedance,0.9333333333333332,0.0,0.0,0.0,0.0009726729263861983,1.1152111367267359,1.3572644741828155,41.583333333333336,0.002470360384265962
force_noise_std_range,low,nominal,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.641379990327517,3.6324905512806343,11.0,0.010917988441015271
force_noise_std_range,low,nominal,variable_impedance,1.0,0.0,0.0,0.0,0.0009483681122471032,0.7486976100272861,0.9902279392754122,25.933333333333334,0.002827856038098139
force_noise_std_range,low,tight_clearance,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.641379990327517,3.6324905512806343,11.0,0.010917988441015271
force_noise_std_range,low,tight_clearance,variable_impedance,1.0,0.0,0.0,0.0,0.0009483681122471032,0.7486976100272861,0.9902279392754122,25.933333333333334,0.002827856038098139
force_noise_std_range,low,high_friction,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,4.399680477661384,5.291766605385242,11.0,0.018296049174432224
force_noise_std_range,low,high_friction,variable_impedance,1.0,0.0,0.0,0.0,0.000938923676063982,1.1915590599263022,1.4182301207999999,29.166666666666668,0.004468995511081726
force_noise_std_range,low,offset_bias,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.641379990327517,3.6324905512806343,11.0,0.010917988441015271
force_noise_std_range,low,offset_bias,variable_impedance,1.0,0.0,0.0,0.0,0.0009483681122471032,0.7486976100272861,0.9902279392754122,25.933333333333334,0.002827856038098139
force_noise_std_range,low,noisy_force,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.7507801745685927,3.5525649157761876,11.0,0.011143093508965576
force_noise_std_range,low,noisy_force,variable_impedance,1.0,0.0,0.0,0.0,0.0009341889890531882,0.8956134374221181,1.080302652325203,35.49999999999999,0.0023603661700475416
force_noise_std_range,nominal,nominal,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.6532204315764396,3.6420015833035495,11.0,0.010917988441015271
